tick,quiet agent,active agent,jailed agent
0,1120,0,0
1,1060,25,35
2,783,242,95
3,634,332,154
4,640,273,207
5,643,220,257
6,643,170,307
7,636,120,364
8,658,53,409
9,689,6,425
10,711,1,408
11,727,0,393
12,734,2,384
13,754,0,366
14,776,0,344
15,792,0,328
16,817,0,303
17,828,0,292
18,840,0,280
19,852,0,268
20,865,1,254
21,879,1,240
22,904,0,216
23,918,0,202
24,932,0,188
25,947,0,173
26,967,0,153
27,990,0,130
28,997,0,123
29,1014,0,106
30,1029,0,91
31,1046,0,74
32,1048,2,70
33,1047,2,71
34,1062,0,58
35,1029,23,68
36,895,116,109
37,697,268,155
38,638,272,210
39,636,217,267
40,639,160,321
41,645,102,373
42,663,44,413
43,693,6,421
44,717,0,403
45,729,0,391
46,753,0,367
47,768,0,352
48,786,0,334
49,794,0,326
50,806,2,312
51,823,0,297
52,836,0,284
53,855,0,265
54,849,9,262
55,861,0,259
56,882,0,238
57,881,4,235
58,894,0,226
59,916,0,204
60,917,5,198
61,920,11,189
62,886,27,207
63,795,82,243
64,699,140,281
65,651,144,325
66,653,102,365
67,673,53,394
68,697,16,407
69,738,0,382
70,756,0,364
71,780,0,340
72,795,0,325
73,811,0,309
74,824,0,296
75,838,0,282
76,849,0,271
77,870,0,250
78,883,0,237
79,897,0,223
80,914,0,206
81,927,0,193
82,941,0,179
83,956,0,164
84,920,23,177
85,880,35,205
86,804,78,238
87,680,167,273
88,670,137,313
89,659,104,357
90,662,63,395
91,708,10,402
92,730,2,388
93,760,0,360
94,779,0,341
95,798,0,322
96,809,0,311
97,822,0,298
98,835,1,284
99,846,0,274
100,863,0,257
101,870,3,247
102,885,0,235
103,899,0,221
104,905,1,214
105,920,1,199
106,931,0,189
107,949,2,169
108,964,0,156
109,982,0,138
110,996,0,124
111,1006,1,113
112,1020,0,100
113,1035,0,85
114,1047,0,73
115,1057,0,63
116,1065,0,55
117,1062,5,53
118,1038,13,69
119,916,99,105
120,669,293,158
121,638,269,213
122,646,214,260
123,637,167,316
124,644,111,365
125,650,57,413
126,686,9,425
127,712,0,408
128,725,0,395
129,738,0,382
130,753,0,367
131,764,0,356
132,786,0,334
133,805,0,315
134,822,0,298
135,835,0,285
136,854,0,266
137,868,0,252
138,881,0,239
139,897,0,223
140,912,0,208
141,925,0,195
142,928,8,184
143,954,0,166
144,980,0,140
145,992,0,128
146,1005,0,115
147,1017,0,103
148,1032,0,88
149,1013,17,90
150,883,107,130
151,683,264,173
152,638,252,230
153,654,197,269
154,654,155,311
155,642,115,363
156,656,52,412
157,681,10,429
158,707,0,413
159,727,0,393
160,744,0,376
161,757,0,363
162,768,0,352
163,787,0,333
164,807,0,313
165,819,0,301
166,835,0,285
167,848,0,272
168,862,1,257
169,872,1,247
170,888,0,232
171,910,0,210
172,923,0,197
173,943,0,177
